INFO: 2024/02/20 18:45:25 Server started
INFO: 2024/02/20 18:45:36 Endpoint hit: GetUsers method: GET path: /users
INFO: 2024/02/20 18:45:52 Endpoint hit: PostUser method: POST path: /users
INFO: 2024/02/20 18:45:56 Endpoint hit: GetUsers method: GET path: /users
INFO: 2024/02/20 18:46:09 Endpoint hit: GetUserById method: GET path: /users/65d4c9303d431d1d466cd40d
INFO: 2024/02/20 18:46:14 Endpoint hit: GetUserByEmail method: GET path: /users/email/lock888@gmail.com
INFO: 2024/02/20 18:47:05 Endpoint hit: UpdateUser method: PUT path: /users/hassabdira58@gmail.com
INFO: 2024/02/20 18:47:21 Endpoint hit: UpdateUser method: PUT path: /users/hassabdira58@gmail.com
INFO: 2024/02/20 18:47:40 Endpoint hit: DeleteUser method: DELETE path: /users/65d4c9303d431d1d466cd40d
INFO: 2024/02/20 18:47:43 Endpoint hit: GetUserById method: GET path: /users/65d4c9303d431d1d466cd40d
INFO: 2024/02/20 19:13:32 Server started
INFO: 2024/02/20 19:13:39 Endpoint hit: PostUser, method: POST, path: /users
INFO: 2024/02/20 19:13:43 Endpoint hit: GetUsers, method: GET, path: /users
INFO: 2024/02/20 19:13:57 Endpoint hit: GetUserById, method: GET, path: /users/65d4cfb359d1747ae634ecda
INFO: 2024/02/20 19:14:04 Endpoint hit: GetUserByEmail, method: GET, path: /users/email/lock888@gmail.com
INFO: 2024/02/20 19:14:33 Endpoint hit: UpdateUser, method: PUT, path: /users/lock888@gmail.com
INFO: 2024/02/20 19:15:22 Endpoint hit: UpdateUser, method: PUT, path: /users/lock888@gmail.com
INFO: 2024/02/20 19:15:37 Endpoint hit: DeleteUser, method: DELETE, path: /users/65d4cfb359d1747ae634ecda
INFO: 2024/02/20 19:15:42 Endpoint hit: GetUserById, method: GET, path: /users/65d4cfb359d1747ae634ecda
INFO: 2024/02/20 19:15:54 Endpoint hit: PostAccount, method: POST, path: /accounts
INFO: 2024/02/20 19:15:58 Endpoint hit: GetAccounts, method: GET, path: /accounts
INFO: 2024/02/20 19:16:10 Endpoint hit: GetAccountById, method: GET, path: /accounts/65d4d03a59d1747ae634ece5
INFO: 2024/02/20 19:16:24 Endpoint hit: GetAccountByCustomerId, method: GET, path: /accounts/customer/65ca157383d9a4ec9f57e06d
INFO: 2024/02/20 19:16:47 Endpoint hit: PostTransaction, method: POST, path: /transactions
INFO: 2024/02/20 19:16:53 Endpoint hit: GetAccountById, method: GET, path: /accounts/65d4d03a59d1747ae634ece5
INFO: 2024/02/20 19:17:07 Endpoint hit: PostTransaction, method: POST, path: /transactions
INFO: 2024/02/20 19:17:15 Endpoint hit: GetAccountById, method: GET, path: /accounts/65d4d03a59d1747ae634ece5
INFO: 2024/02/20 19:17:19 Endpoint hit: GetTransactions, method: GET, path: /transactions
INFO: 2024/02/20 19:17:33 Endpoint hit: GetTransactionById, method: GET, path: /transactions/65d4d08359d1747ae634ecf3
INFO: 2024/02/20 19:17:48 Endpoint hit: GetAccountByCustomerId, method: GET, path: /accounts/customer/65ca157383d9a4ec9f57e06d
INFO: 2024/02/20 19:17:58 Endpoint hit: GetTransactionsByAccountId, method: GET, path: /transactions/account/65d4d03a59d1747ae634ece5
INFO: 2024/02/20 19:18:15 Endpoint hit: DeleteTransaction, method: DELETE, path: /transactions/65d4d06f59d1747ae634eced
INFO: 2024/02/20 19:18:19 Endpoint hit: GetTransactionsByAccountId, method: GET, path: /transactions/account/65d4d03a59d1747ae634ece5
